category,over_represented_pvalue,numDEInCat,numInCat,FDR
GO_VACUOLE,3.0187244467657255e-13,36,635,7.5920919836158e-10
GO_VACUOLAR_LUMEN,1.3872554611081667e-9,15,141,1.7444737423435195e-6
GO_LYSOSOMAL_LUMEN,1.1025430815031158e-8,11,79,9.242986166601121e-6
GO_EXOCYTOSIS,2.6197230215942144e-7,29,724,1.6471508498273625e-4
GO_AZUROPHIL_GRANULE,3.949594759092346e-7,12,129,1.8794512221571567e-4
GO_SECRETORY_GRANULE,4.705132665514242e-7,26,613,1.8794512221571567e-4
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,6.010430310225682e-7,21,423,1.8794512221571567e-4
GO_SECRETORY_VESICLE,6.688782075292002e-7,29,753,1.8794512221571567e-4
GO_LEUKOCYTE_MEDIATED_IMMUNITY,6.725670377500759e-7,24,543,1.8794512221571567e-4
GO_PIGMENT_GRANULE_ORGANIZATION,8.846341020075358e-7,6,25,2.2248547665489526e-4
GO_MYELOID_LEUKOCYTE_ACTIVATION,1.3036735059637937e-6,22,486,2.98067169772631e-4
GO_LIPID_METABOLIC_PROCESS,4.848067141315878e-6,34,1076,0.0010160740717007862
GO_GLIAL_CELL_DEVELOPMENT,5.567527560703532e-6,9,95,0.0010771024473207216
GO_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM,6.187261987717107e-6,5,20,0.0011114974213648945
GO_VACUOLAR_MEMBRANE,1.2516877527017099e-5,17,362,0.002098663132029867
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,1.6233086802542596e-5,21,527,0.0025064269165819136
GO_OLIGODENDROCYTE_DEVELOPMENT,1.7838972971395666e-5,6,40,0.0025064269165819136
GO_CELLULAR_LIPID_METABOLIC_PROCESS,1.7938641947703555e-5,27,800,0.0025064269165819136
GO_SECRETION,1.930631400392411e-5,34,1154,0.0025555463010457444
GO_OLIGODENDROCYTE_DIFFERENTIATION,2.8645425564645455e-5,8,87,0.003362978495930253
GO_GLIOGENESIS,2.8897584729310457e-5,13,242,0.003362978495930253
GO_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,2.941770453696444e-5,7,67,0.003362978495930253
GO_LIPID_CATABOLIC_PROCESS,4.3628039572957944e-5,13,246,0.004770631283738662
GO_GLIAL_CELL_DIFFERENTIATION,4.717522899749304e-5,11,184,0.004943570872028958
GO_VESICLE_ORGANIZATION,7.797724633050215e-5,14,301,0.0075757953954940175
GO_AUTOLYSOSOME,7.831836194148886e-5,4,16,0.0075757953954940175
GO_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,8.979135977357636e-5,5,32,0.008363898882612762
GO_GALACTOSIDASE_ACTIVITY,1.0098432635789177e-4,3,7,0.009070556456789208
GO_AZUROPHIL_GRANULE_LUMEN,1.0635955512307017e-4,7,75,0.009223940728776601
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,1.2406040482267758e-4,4,19,0.010400397270967802
GO_REGULATION_OF_MYELINATION,1.4588896410441894e-4,5,38,0.011190884667416986
GO_REGULATION_OF_CELL_KILLING,1.4663380430310582e-4,6,56,0.011190884667416986
GO_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,1.4683864573549125e-4,4,22,0.011190884667416986
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,1.5768694330671356e-4,4,20,0.011664195953423077
GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,2.0184816227747295e-4,12,268,0.014504232232224128
GO_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,2.1517235621004127e-4,8,122,0.015032179885229273
GO_SECONDARY_LYSOSOME,2.2981566273893363e-4,4,21,0.015621253832119406
GO_IDENTICAL_PROTEIN_BINDING,2.6499694142072787e-4,38,1528,0.017538613359819228
GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY,2.853302039687149e-4,6,63,0.01840014007644405
GO_OLIGOSACCHARIDE_CATABOLIC_PROCESS,3.092071272261986e-4,3,10,0.019441398124347236
GO_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION,3.192540551394492e-4,9,164,0.019583510943310116
GO_LATE_ENDOSOME,3.5882669111991805e-4,11,227,0.02148688400396652
GO_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,3.7003097673305065e-4,5,43,0.021642509453107497
GO_EXOPEPTIDASE_ACTIVITY,4.091150306397122e-4,6,70,0.02338464322861082
GO_POSITIVE_REGULATION_OF_MYELINATION,4.3642325952584907e-4,3,13,0.024388666930851555
GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,4.46075021399273e-4,5,50,0.024388666930851555
GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY,4.6751012784474827e-4,5,45,0.02501676535169238
GO_CARBOXYPEPTIDASE_ACTIVITY,4.906029048967143e-4,4,27,0.025705548037817428
GO_MULTIVESICULAR_BODY,5.820139763047075e-4,5,47,0.029872758171557944
GO_ENDOSOME,5.976077899764502e-4,23,792,0.030059671835815444
GO_VESICLE_MEMBRANE,6.652277825880959e-4,20,649,0.0328048602590012
GO_COLLAGEN_CATABOLIC_PROCESS,7.062537618963401e-4,4,30,0.034158234830178755
GO_AZUROPHIL_GRANULE_MEMBRANE,7.395990816402937e-4,5,49,0.03509606962877997
GO_RHO_PROTEIN_SIGNAL_TRANSDUCTION,8.912317770761407e-4,7,115,0.04150829480271285
