# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d results/08_bqsr/bam/22-00152_S8.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	ed674003	5ac057bf	198e5fae
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	289540390
SN	filtered sequences:	200034203
SN	sequences:	89506187
SN	is sorted:	1
SN	1st fragments:	44753093
SN	last fragments:	44753094
SN	reads mapped:	89506187
SN	reads mapped and paired:	89506186	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	89506186	# proper-pair bit set
SN	reads paired:	89506187	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	396904	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	10598043
SN	total length:	8674408181	# ignores clipping
SN	total first fragment length:	4337124236	# ignores clipping
SN	total last fragment length:	4337283945	# ignores clipping
SN	bases mapped:	8674408181	# ignores clipping
SN	bases mapped (cigar):	8535091094	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	96
SN	average first fragment length:	97
SN	average last fragment length:	97
SN	maximum length:	98
SN	maximum first fragment length:	98
SN	maximum last fragment length:	98
SN	average quality:	23.6
SN	insert size average:	1493.2
SN	insert size standard deviation:	2314.9
SN	inward oriented pairs:	51653702
SN	outward oriented pairs:	3241265
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	397	0	0	0	2255	28793	0	0	35792	32845	31251	29874	30858	23122	41046	24878	49200	41008	48704	50322	119120	0	127073	120045	136747	254073	384261	509036	928451	1032583	2143910	1891413	0	4281710	7062034	25292292	0	0	0	0	0	0	0	0
FFQ	2	46	0	0	0	4943	27471	7087	13870	22432	17627	18324	26099	29845	32262	35487	33935	45831	40002	65972	73660	85477	91154	121459	162018	291515	280132	546408	835504	798048	1569022	3516399	1571226	3991222	8523519	11514269	9023952	1336876	0	0	0	0	0	0	0
FFQ	3	26	2899	8442	8504	14947	47110	20470	16831	30001	25705	35660	33784	44919	42836	66785	91808	102464	128514	1153563	669039	1010834	12603653	11557318	13170080	3570695	296206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	4	108	3245	7930	8732	17528	49749	18309	20099	32799	24956	37110	38559	41182	52838	63834	78010	86805	148365	1063418	546125	937847	11560514	10290670	13812848	5215231	583052	13230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	5	55	3333	8375	9518	20884	52148	19908	21437	37843	30641	40330	39675	41363	58723	66745	95490	97084	143254	1088614	500948	1062198	10474167	10580003	13887372	5811348	561637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	6	72164	7395	12595	18631	29080	68794	30273	41858	48236	40380	51887	63892	69880	75417	96387	118501	187670	246980	638509	1018212	1067804	5343475	11287960	11116864	10840428	2089794	70027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	7	21	3089	8063	9662	20487	60051	22215	22291	36324	24832	43070	46455	46341	48070	60850	89602	93488	145182	164019	997260	668364	1256330	12655063	11515506	14377312	2238764	100382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	8	356	6145	11933	16513	27116	65717	31860	32444	40897	39802	48007	60910	55953	68453	97579	122187	160774	244641	592921	1027618	1215257	5483455	12446866	11354105	10107361	1394223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	9	117	4176	10731	12414	25771	66088	26028	32570	40004	37462	46185	46790	65960	70022	77326	116401	130037	177804	1238008	633908	1374986	10034656	11377982	12945676	5624704	537287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	10	106674	8153	11974	17036	34855	81852	35004	42033	54612	51544	58587	67793	75769	85330	112685	141548	167642	303740	890742	882756	1608812	7133117	9884188	12398999	9316561	1181087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	11	100806	9031	15000	24059	39326	92216	40828	52390	53093	69155	75598	77878	99258	118263	154318	210746	239069	351729	845125	1266111	1722226	4335876	9914498	12377982	11186081	1282431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	12	18	4901	11548	13645	25671	71716	28658	26374	46466	38772	44550	54168	60191	71444	84844	117192	130517	165306	239252	1477047	900718	1539918	9831699	11586471	14052142	3904132	225733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	13	48	4855	12733	11779	27313	72958	30641	29396	36970	41813	53307	47124	62420	68444	75618	112646	122271	168565	215603	1310173	596705	1372308	9416614	11038246	13908562	5509466	406515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	14	81	4830	12023	12597	30493	72440	29860	31673	44768	42853	44996	50641	59471	70796	88434	100831	112049	166530	209322	658839	1124237	1392194	4143372	9732346	12005132	12875616	1636669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	15	207	8801	11224	17883	37294	86060	37399	38908	53934	45962	60593	80673	70536	83115	111974	145125	173679	263892	349828	770754	1294255	1628356	4403574	9939210	11752980	11747780	1539097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	16	36	6673	17385	17801	42517	105252	44053	39937	63407	55892	71369	62967	90247	92441	101605	143453	143176	176730	242132	449897	1271369	1133383	2291474	10280809	11623862	14063132	2122094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	17	261	8051	23169	23386	47770	120435	56513	48119	74142	70488	87251	81236	99274	111357	116868	166790	211815	232517	340415	554345	1451816	1406073	2514662	9915720	11509823	13486360	1994437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
